"tree","group","type","tree_length","crown_age","crown_age2","richness","gammma","balance","HmeanDR","meanDR","minDR","maxDR","mean_log_DR","sdDR","sd_log_DR","medianDR","DRskew","DRkurtosis","birth1","death1"
1,"Global","all",12529.2174731348,97.8463273852414,-97846.3273852414,6636,32.7435580721617,0.00404847354145335,0.52964201589037,1.04256561011673,0.01344261452415,7.29824023039357,-0.238836907447288,0.812182884356054,0.800527129633449,0.837765249490621,2.19955925970747,10.9211560516091,0.983900286962159,0.795588246425022
10,"Global","all",12779.4260077444,97.0687098948878,-97068.7098948878,6636,30.5507788522885,0.00393319882344362,0.519272148528312,1.01298816511455,0.0128608334901549,7.1186955177791,-0.272428433526615,0.807155898466431,0.798904894664437,0.800758645447757,2.19439548032352,10.3488733680921,0.92950641640133,0.722524390775332
100,"Global","all",12528.5404694029,101.767647143198,-101767.647143198,6636,31.6775909887249,0.00455105677200346,0.52967063611331,1.03452891664476,0.0130447786677355,9.60773528733394,-0.246562536919277,0.819460502167058,0.796149533628423,0.822871609109865,2.43997356447041,13.8880553510597,0.968273284981602,0.774115047776836
1000,"Global","all",12856.80700796,115.813926106751,-115813.926106751,6636,34.5190624928281,0.00486534736107454,0.516146815915608,1.03682964883524,0.0133587153069064,9.140890463437,-0.250439135491532,0.830231883420334,0.806907545704315,0.824109024945284,2.41011326675594,12.9788443263553,0.990668079374832,0.825748886698708
101,"Global","all",12718.0131923397,106.949681326402,-106949.681326402,6636,31.9133058147506,0.0039445581768147,0.521779612872001,1.01932488321381,0.0151247338949855,9.37675823050775,-0.257574192322435,0.805310263669147,0.79288250497242,0.830393450779117,2.55930875977633,15.1672204205674,0.956784882128097,0.766535129517437
102,"Global","all",12812.9920729782,119.470122765953,-119470.122765953,6636,33.948025256849,0.00407028349992582,0.51791181655336,1.03276068441241,0.0109124981030658,8.42518434183751,-0.248342489728615,0.802801108574828,0.803017701203781,0.823102171513021,2.21308146371541,11.6096460100921,0.9843459736585,0.813472729276449
103,"Global","all",12702.62850331,95.8188214730536,-95818.8214730536,6636,32.2664848917908,0.0042210902752803,0.522411562163754,1.02973535387362,0.0143312690099345,10.1953960054958,-0.257213935014753,0.834431792373398,0.802447839398952,0.819061589490365,2.61168314387954,15.6110827080586,0.963241566481482,0.774950934877836
104,"Global","all",12986.6354130884,185.76600513859,-185766.00513859,6636,35.5442630835304,0.00444259766601638,0.510986856019069,1.03935517913346,0.00827738912538231,14.8628318573427,-0.255634049269153,0.880927816223551,0.81261905224553,0.822006490872225,3.52252810515091,31.5295360001883,0.999216947062204,0.846475808313284
105,"Global","all",13588.0285386296,145.504434051901,-145504.434051901,6636,35.8317995160306,0.00422395283232981,0.488371067306373,1.00063120431251,0.00888292747449016,7.38073935398645,-0.29568577428982,0.818013638688235,0.819480127515877,0.797934262244127,2.39483179535153,12.0482214430475,0.957890058477195,0.811873716424218
106,"Global","all",12990.8071478619,152.584679068221,-152584.679068221,6636,36.3471969276186,0.00493991015660232,0.510822762932956,1.04825532328032,0.0108914914029988,7.77202920572052,-0.243862874555469,0.823858421308826,0.817848872916178,0.822759586521345,2.02309644986917,9.40800530069441,1.01253977588038,0.86438313913617
107,"Global","all",12847.5359265806,140.9467973272,-140946.7973272,6636,32.1608471799712,0.00380838224860217,0.5165192794885,0.999898198608871,0.0138088545314461,8.4233608350442,-0.272498978953353,0.775115810069021,0.787188430636767,0.807054906041476,2.46395216598917,14.7612037663765,0.954214799918549,0.772806292402629
108,"Global","all",12691.2426819746,83.5975610662507,-83597.5610662507,6636,32.4916067316331,0.00410068112954684,0.522880238467517,1.03140613370614,0.0132837083558107,9.53576762688184,-0.2524795967396,0.819707016914624,0.801773186410653,0.826532129671665,2.43952510830743,13.8168887067902,0.967619410408312,0.779782672261721
109,"Global","all",13105.9776382855,110.336718355238,-110336.718355238,6636,32.8444172587409,0.00433459293416414,0.506333841179065,1.00317247522897,0.0106105283839971,8.61673444440346,-0.282376681998674,0.800478863833851,0.804391186017803,0.80141190252347,2.45563936451575,13.8607978618794,0.943955558948487,0.765628717662733
11,"Global","all",12741.1383738235,136.247889550597,-136247.889550597,6636,31.6130762059688,0.00449207900930081,0.520832582246622,1.01837456202113,0.0108823435895874,9.73753968554824,-0.26438694607268,0.849210341786573,0.789181567777287,0.793611399786397,2.92525314452771,17.960183513506,0.953989584288448,0.766314803076828
110,"Global","all",12858.9795588955,132.074725905398,-132074.725905398,6636,33.3301329719271,0.00395741696483076,0.516059611853838,1.02299055656486,0.0154928981283903,9.52535043264835,-0.257747700342845,0.802872371873515,0.800546205739802,0.81997101185267,2.39793026169643,13.7401162342294,0.970451158636986,0.795204866110636
