glottocode	taxon
warl1256	Warluwarra
wanm1242	Warnman
wari1262	Warriyangga
warr1257	Warrnambool
waru1265	Warumungu
waru1264	Warungu
wath1238	Wathawurrung
west2443	Wathiwathi
nyun1247	Watjuk
lowe1402	Wellington
west2443	WembaWemba
west2441	WesternArrarnta
kuku1283	WikMuminh
wikm1247	WikMungkan
wika1238	WikNgatharr
wira1262	Wiradjuri
wira1265	Wirangu
woiw1237	Woiwurrung
wulg1239	Wulguru
yort1237	YabulaYabula
yadh1237	Yadhaykenu
yaga1256	Yagara
yala1262	Yalarnnga
biri1256	Yambina
yand1251	Yanda
yand1253	Yandruwandha
nyan1300	Yangarella
nyan1300	Yangkaal
yann1237	Yannhangu
yany1243	Yanyuwa
yarl1236	Yardliyawarra
dier1241	Yarluyandi
yawa1258	Yawarrawarrka
yayg1236	Yaygirr
yidi1250	Yidiny
yind1247	Yindjibarndi
yind1248	Yindjilandji
ying1247	Yingkarta
pany1241	Yinhawangka
bidy1243	Yiningay
yinw1236	Yinwum
yiry1245	YirYoront
yira1239	Yirandali
lowe1403	YithaYitha
yort1237	YortaYorta
twee1234	Yugambeh
yaga1256	Yugarabul
mart1256	Yulparija
gami1243	Yuwaalaraay
dhuw1249	Zorc
