ISO,Reported endangerment level,Years,P[Y=1],P[Y=2],P[Y=3],P[Y=4],P[Y=5],P[Y=6],P[Y=7]
hoa,2,40,0.674102399,0.226376795,0.065450249,0.022591004,0.011004323,0.000431221,4.4e-05
hob,1,40,0.66327167,0.231884703,0.06845392,0.023981659,0.011879614,0.000478639,4.98e-05
hoc,1,40,0.959880715,0.035212367,0.004009107,0.000720778,0.000174948,1.99e-06,8.97e-08
hod,7,40,0,0,0,0,0,0,1
hoe,1,40,0.709354055,0.20754566,0.055941881,0.018368308,0.008459304,0.000301899,2.89e-05
hoh,4,40,0,0,0,0,0,0,1
hoi,5,40,0,0,0,0,0,0,1
hoj,1,40,0.98402328,0.014526086,0.00123306,0.00018131,3.6e-05,2.79e-07,9.82e-09
hol,1,40,0.880426225,0.097365447,0.016820992,0.004037283,0.001322241,2.61e-05,1.68e-06
hoo,1,40,0.875652726,0.100860752,0.017723445,0.004304667,0.001427669,2.89e-05,1.88e-06
hop,2,40,0.308694851,0.321913097,0.178128528,0.098394306,0.083582214,0.007801055,0.001485949
hor,7,40,0,0,0,0,0,0,1
hot,1,40,0.876626646,0.100149655,0.017538271,0.004249504,0.001405796,2.83e-05,1.84e-06
hov,1,40,0.6502586,0.238326114,0.072111373,0.025711844,0.012993463,0.000541024,5.76e-05
how,1,40,0.793555503,0.157160644,0.035080484,0.010078388,0.004004813,0.000111193,8.97e-06
hoy,1,40,0.493748381,0.299386267,0.119495667,0.052002082,0.033096707,0.001995252,0.000275645
hoz,1,40,0.803090792,0.150985327,0.03290057,0.009293062,0.003625069,9.75e-05,7.7e-06
hpo,6,40,0,0,0,0,0,0,1
hra,1,40,0.843064484,0.124062393,0.024215288,0.006330271,0.002271023,5.28e-05,3.78e-06
hre,1,40,0.87310038,0.10271938,0.018211256,0.004450715,0.00148588,3.04e-05,2e-06
hrk,4,40,0,0,0,0,0,0,1
hrm,1,40,0.759158495,0.178647746,0.043265323,0.013167233,0.005573735,0.00017249,1.5e-05
hro,1,40,0.800306466,0.152798339,0.033532972,0.009519226,0.00373359,0.000101351,8.06e-06
hru,2,40,0.663440139,0.231800045,0.068406914,0.023959686,0.011865645,0.000477871,4.97e-05
hrx,3,40,0.918686564,0.068416733,0.010086081,0.002167734,0.000632191,1.01e-05,5.68e-07
hrz,3,40,0.510022121,0.294570722,0.11433969,0.048764064,0.030306493,0.001760151,0.000236758
hsb,1,40,0.499869731,0.297620653,0.117552007,0.050769416,0.032024116,0.001903709,0.000260368
hss,3,40,0.0706706,0.191132098,0.199158677,0.176630725,0.279031063,0.060592564,0.022784272
hto,1,40,0.536928305,0.285774714,0.105904833,0.043680497,0.026103251,0.001424997,0.000183403
hts,2,40,0.418631545,0.316242529,0.143602955,0.068632298,0.04884375,0.003499192,0.000547731
htu,2,40,0.470169449,0.305656913,0.127022908,0.056918791,0.037502937,0.002386284,0.000342718
hub,1,40,0.865960547,0.107880864,0.019595,0.004870645,0.00165563,3.5e-05,2.35e-06
huc,5,40,0,0,0,0,0,0,1
hud,2,40,0.319979232,0.322562209,0.174738035,0.09502575,0.079173034,0.007182555,0.001339185
hue,3,40,0.235239205,0.309078029,0.198192427,0.122073327,0.118906369,0.013517047,0.002993596
huf,1,40,0.774508763,0.169211726,0.039552051,0.011738923,0.004833839,0.000142696,1.2e-05
hug,2,40,0.311259389,0.322088476,0.177363049,0.097622344,0.082559811,0.007655775,0.001451157
huh,4,40,0,0,0,0,0,0,1
hui,1,40,0.996870024,0.002949335,0.000160569,1.75e-05,2.59e-06,1.13e-08,2.75e-10
huj,1,40,0.752352441,0.182752283,0.044941958,0.013826524,0.005923244,0.000187079,1.65e-05
hul,1,40,0.865280863,0.108369331,0.019728179,0.004911494,0.001672325,3.54e-05,2.39e-06
hum,2,40,0.335845807,0.32295395,0.169883658,0.090412685,0.073348192,0.00639754,0.001158169
hun,1,40,0.981275228,0.016939744,0.001508482,0.000229174,4.7e-05,3.88e-07,1.42e-08
huo,2,40,0.394838916,0.319562135,0.151251666,0.074507004,0.054996637,0.004164694,0.000678949
hup,5,40,0,0,0,0,0,0,1
huq,2,40,0.39717054,0.319283457,0.150503827,0.073917862,0.054365066,0.004094429,0.000664818
hur,4,40,0,0,0,0,0,0,1
hus,1,40,0.697049548,0.214274034,0.059212828,0.019790132,0.009296877,0.000342998,3.36e-05
hut,1,40,0.679016235,0.223834392,0.064099927,0.021974698,0.010622196,0.000410977,4.16e-05
huu,2,40,0.656786411,0.235119092,0.070270147,0.024835773,0.012426057,0.000508963,5.36e-05
huv,1,40,0.534856068,0.286488121,0.106549996,0.044060283,0.026409802,0.001448648,0.000187083
huw,7,40,0,0,0,0,0,0,1
hux,4,40,0,0,0,0,0,0,1
huz,2,40,0.39199196,0.31988832,0.152164092,0.075230355,0.055776586,0.004252078,0.00069661
hve,3,40,0.499960838,0.297593955,0.117523116,0.050751204,0.032008365,0.001902375,0.000260147
hvk,3,40,0.232478131,0.308265406,0.19884998,0.123019537,0.120502276,0.013807781,0.00307689
hvn,1,40,0.924742571,0.063675839,0.0091085,0.001917128,0.000547078,8.42e-06,4.6e-07
hvv,3,40,0.24576044,0.311933588,0.195605915,0.118502536,0.113027916,0.012470776,0.002698831
hwa,1,40,0.820298071,0.139601237,0.029069857,0.007952761,0.002996459,7.59e-05,5.75e-06
hwo,1,40,0.824641627,0.136678657,0.028124477,0.007629989,0.002848927,7.1e-05,5.33e-06
hya,4,40,0,0,0,0,0,0,1
hye,1,40,0.950881102,0.042668109,0.005212793,0.000983806,0.000250902,3.14e-06,1.5e-07
ian,1,40,0.97198664,0.024977149,0.002523815,0.000418042,9.34e-05,9.1e-07,3.7e-08
iar,1,40,0.953623937,0.040408772,0.004837698,0.000900345,0.000226363,2.76e-06,1.29e-07
iba,1,40,0.971484566,0.025406746,0.002582016,0.00042937,9.63e-05,9.46e-07,3.87e-08
ibb,1,40,0.995272263,0.004423881,0.000267607,3.13e-05,4.96e-06,2.47e-08,6.58e-10
ibd,2,40,0.010915107,0.061189818,0.106549194,0.140357535,0.393322336,0.168043067,0.119622943
ibe,1,40,0.926948335,0.061937722,0.008759021,0.001828999,0.000517648,7.85e-06,4.25e-07
ibg,1,40,0.924682703,0.063722929,0.009118035,0.001919544,0.000547889,8.44e-06,4.61e-07
