ISO,Reported endangerment level,Years,P[Y=1],P[Y=2],P[Y=3],P[Y=4],P[Y=5],P[Y=6],P[Y=7]
aaa,1,40,0.896565068,0.085359946,0.013868397,0.003189048,0.000998245,1.82e-05,1.11e-06
aab,1,40,0.790535876,0.159096462,0.035779091,0.010333457,0.004129893,0.000115812,9.41e-06
aac,2,40,0.431033975,0.314106367,0.139607439,0.065688893,0.04587983,0.003193904,0.000489592
aad,1,40,0.520971777,0.291114321,0.110892448,0.046655172,0.028536565,0.001616191,0.000213526
aae,2,40,0.739225947,0.1905303,0.048226578,0.015143644,0.006636044,0.000217802,1.97e-05
aaf,2,40,0.199492651,0.296351378,0.205880871,0.134586371,0.14147792,0.017900553,0.004310256
aag,1,40,0.571067346,0.273189771,0.09539921,0.037697919,0.021433541,0.001080723,0.000131491
aai,1,40,0.924934159,0.063525113,0.009078003,0.001909407,0.000544489,8.37e-06,4.57e-07
aak,1,40,0.856341133,0.114747628,0.021502856,0.005462902,0.001900754,4.18e-05,2.89e-06
aal,2,40,0.62187939,0.251692145,0.080262529,0.02971445,0.015673257,0.000700005,7.82e-05
aan,5,40,0,0,0,0,0,0,1
aap,1,40,0.341255156,0.322953613,0.168208807,0.088872812,0.071456662,0.006150481,0.001102469
aaq,6,40,0,0,0,0,0,0,1
aar,1,40,0.996657886,0.003145954,0.00017412,1.92e-05,2.87e-06,1.27e-08,3.16e-10
aas,5,40,0,0,0,0,0,0,1
aat,3,40,0.55441351,0.279522687,0.10049397,0.040552348,0.023624174,0.001238434,0.000154877
aau,1,40,0.796960648,0.154966266,0.034297434,0.009794437,0.003866566,0.000106147,8.5e-06
aaw,1,40,0.880102332,0.097603406,0.016881815,0.004055188,0.001329254,2.63e-05,1.69e-06
aax,1,40,0.806854149,0.148521964,0.032051289,0.008991496,0.003481446,9.24e-05,7.24e-06
aaz,1,40,0.883616163,0.095015627,0.016225195,0.003862789,0.001254262,2.44e-05,1.55e-06
aba,1,40,0.975831247,0.021671643,0.002088937,0.000335013,7.25e-05,6.64e-07,2.6e-08
abb,2,40,0.802380661,0.151448496,0.033061534,0.009350498,0.003652563,9.85e-05,7.79e-06
abc,1,40,0.405822458,0.318159758,0.147724991,0.071757381,0.052076923,0.003843593,0.000614897
abd,1,40,0.600890763,0.260959646,0.0864355,0.032882344,0.017893707,0.000840707,9.73e-05
abe,5,40,0,0,0,0,0,0,1
abf,3,40,0.020230429,0.091762852,0.137460368,0.161081702,0.378914095,0.13291689,0.077633665
abg,5,40,0,0,0,0,0,0,1
abi,1,40,0.949484483,0.043814299,0.005406452,0.001027394,0.000263867,3.34e-06,1.61e-07
abj,7,40,0,0,0,0,0,0,1
abk,1,40,0.818991724,0.140476353,0.029355913,0.00805106,0.003041693,7.74e-05,5.89e-06
abl,1,40,0.88205724,0.096165395,0.016515627,0.003947644,0.001287238,2.52e-05,1.62e-06
abm,1,40,0.89513514,0.086435529,0.01412368,0.003260715,0.001024968,1.88e-05,1.15e-06
abn,1,40,0.9656812,0.030339427,0.003276821,0.000568149,0.000132929,1.41e-06,6.08e-08
abo,1,40,0.707237861,0.20871459,0.056500674,0.018608911,0.008599625,0.000308681,2.97e-05
abp,1,40,0.631118553,0.247444679,0.077583343,0.028376369,0.014761602,0.000644552,7.09e-05
abq,1,40,0.767865314,0.17332588,0.041147376,0.012347151,0.005145972,0.000155079,1.32e-05
abr,1,40,0.983145699,0.01529883,0.00131963,0.000196171,3.93e-05,3.12e-07,1.11e-08
abt,1,40,0.990253116,0.008981979,0.000660764,8.81e-05,1.59e-05,1.02e-07,3.2e-09
abu,1,40,0.964947749,0.030958668,0.003367403,0.000586693,0.000137942,1.48e-06,6.41e-08
abw,1,40,0.820777774,0.139279437,0.028965015,0.007916807,0.002979949,7.53e-05,5.71e-06
abx,1,40,0.587866158,0.266438675,0.090323636,0.034939376,0.019381704,0.000939309,0.000111143
aby,1,40,0.800233241,0.15284591,0.03354965,0.009525209,0.00373647,0.000101454,8.07e-06
abz,1,40,0.792725151,0.157693913,0.035272198,0.010148222,0.004038974,0.00011245,9.09e-06
aca,2,40,0.152051687,0.270779258,0.212170426,0.151741653,0.179320668,0.02664353,0.007292777
acd,1,40,0.856737824,0.11446642,0.021423211,0.005437877,0.001890267,4.15e-05,2.87e-06
ace,2,40,0.96702178,0.029205229,0.003112823,0.000534828,0.000123989,1.3e-06,5.51e-08
ach,1,40,0.996348205,0.00343249,0.000194289,2.17e-05,3.3e-06,1.51e-08,3.8e-10
aci,7,40,0,0,0,0,0,0,1
ack,7,40,0,0,0,0,0,0,1
acl,7,40,0,0,0,0,0,0,1
acn,3,40,0.7833896,0.163639873,0.037448007,0.010949372,0.004435349,0.000127295,1.05e-05
acp,1,40,0.75460478,0.181399365,0.044385083,0.013606565,0.005806089,0.000182153,1.6e-05
acr,1,40,0.927301035,0.061659229,0.008703472,0.001815064,0.000513019,7.76e-06,4.19e-07
acs,7,40,0,0,0,0,0,0,1
acu,1,40,0.763357617,0.176091057,0.042240072,0.012768465,0.005364754,0.000163922,1.41e-05
acv,5,40,0,0,0,0,0,0,1
acz,1,40,0.623818035,0.250809323,0.079698374,0.029430851,0.015478724,0.000688057,7.66e-05
ada,1,40,0.972886423,0.024206076,0.002420308,0.000398018,8.83e-05,8.49e-07,3.42e-08
add,1,40,0.806150193,0.148983873,0.032209669,0.009047546,0.003508046,9.34e-05,7.32e-06
ade,1,40,0.930376655,0.059224008,0.008223012,0.001695387,0.000473554,7.01e-06,3.73e-07
adg,5,40,0,0,0,0,0,0,1
adh,1,40,0.969721857,0.02691133,0.002788822,0.000470007,0.000106863,1.08e-06,4.47e-08
adi,1,40,0.932719491,0.057360845,0.007861836,0.00160645,0.000444568,6.47e-06,3.41e-07
adj,1,40,0.974491497,0.022826779,0.002238265,0.000363192,7.95e-05,7.45e-07,2.95e-08
adl,1,40,0.841201497,0.125354465,0.024603043,0.006456618,0.002326022,5.44e-05,3.92e-06
adn,2,40,0.640767438,0.242901243,0.074811354,0.02701515,0.013850398,0.000590525,6.39e-05
ado,1,40,0.891028642,0.089511476,0.014863753,0.003470308,0.001103834,2.07e-05,1.29e-06
adq,2,40,0.687272885,0.219501796,0.061848838,0.020959494,0.010000591,0.000378655,3.77e-05
adr,1,40,0.852476145,0.117478649,0.022283145,0.005709425,0.002004667,4.48e-05,3.13e-06
adt,5,40,0,0,0,0,0,0,1
adw,2,40,0.07819015,0.20130768,0.20273585,0.175208989,0.267080936,0.055431949,0.020044446
adx,1,40,0.941944704,0.049954169,0.006481718,0.001275205,0.000339378,4.59e-06,2.31e-07
ady,1,40,0.921395546,0.066301635,0.009645554,0.002054072,0.000593333,9.34e-06,5.18e-07
adz,1,40,0.987246138,0.011671474,0.000927167,0.00013031,2.47e-05,1.76e-07,5.86e-09
aea,7,40,0,0,0,0,0,0,1
aee,1,40,0.884056029,0.094690719,0.016143503,0.003838992,0.001245042,2.42e-05,1.54e-06
aek,5,40,0,0,0,0,0,0,1
ael,1,40,0.690062182,0.218021054,0.061093489,0.020622269,0.009796293,0.0003682,3.65e-05
aem,5,40,0,0,0,0,0,0,1
aeq,2,40,0.191755353,0.292917552,0.2072671,0.13735902,0.146965793,0.01905681,0.004678372
aer,1,40,0.379986534,0.321090608,0.156001653,0.078329338,0.059174884,0.004640679,0.000776303
aeu,3,40,0.81776663,0.141295416,0.029624898,0.008143759,0.00308448,7.88e-05,6.01e-06
aew,3,40,0.766788815,0.17398818,0.041407579,0.012447132,0.005197702,0.000157158,1.34e-05
aey,2,40,0.891793947,0.088939679,0.014725054,0.003430822,0.001088897,2.03e-05,1.26e-06
aez,1,40,0.895812072,0.085926636,0.014002671,0.003226703,0.00101227,1.85e-05,1.13e-06
afd,1,40,0.59413607,0.263827486,0.088446625,0.033940319,0.018654507,0.000890698,0.000104295
afe,1,40,0.975948212,0.021570626,0.002076016,0.000332592,7.19e-05,6.57e-07,2.57e-08
afi,3,40,0.417040882,0.316496781,0.144115195,0.069015645,0.049235539,0.003540296,0.000555661
afk,1,40,0.84024866,0.126013884,0.024802031,0.006521681,0.002354446,5.53e-05,3.99e-06
afn,5,40,0,0,0,0,0,0,1
afo,1,40,0.868649645,0.105943389,0.019070552,0.004710518,0.001590492,3.32e-05,2.21e-06
afp,1,40,0.641554155,0.24252599,0.074586538,0.026905781,0.013777902,0.000586287,6.33e-05
afr,1,40,0.998175737,0.001732278,8.26e-05,8.23e-06,1.12e-06,4.1e-09,9.02e-11
aft,2,40,0.174560472,0.284310469,0.209894628,0.143573565,0.160056478,0.021964137,0.005640252
afu,1,40,0.966215945,0.029887375,0.003211159,0.000554768,0.000129328,1.37e-06,5.85e-08
afz,2,40,0.461808366,0.30767249,0.129704585,0.058727662,0.03917594,0.002540944,0.000370013
agb,1,40,0.952696071,0.041174323,0.004963802,0.000928259,0.000234527,2.88e-06,1.36e-07
agc,1,40,0.943104379,0.04901498,0.006313149,0.001235732,0.000327155,4.39e-06,2.19e-07
agd,1,40,0.970071635,0.026613221,0.002747483,0.000461837,0.000104731,1.05e-06,4.35e-08
age,1,40,0.973020936,0.024090674,0.002404924,0.000395055,8.75e-05,8.4e-07,3.38e-08
agf,2,40,0.078025658,0.201093356,0.202665638,0.175243912,0.26733465,0.055537621,0.020099165
agg,1,40,0.798494727,0.153973707,0.033946312,0.009667784,0.003805246,0.000103928,8.3e-06
agh,1,40,0.940454905,0.051158016,0.006699924,0.00132663,0.000355406,4.87e-06,2.47e-07
agj,1,40,0.915928488,0.070560945,0.010539867,0.002286037,0.000673067,1.1e-05,6.22e-07
agk,5,40,0,0,0,0,0,0,1
agl,1,40,0.673701336,0.22658311,0.065560806,0.022641708,0.01103592,0.000432908,4.42e-05
agm,1,40,0.845161784,0.122603416,0.023780841,0.006189399,0.002210014,5.09e-05,3.63e-06
agn,1,40,0.581867405,0.268890675,0.092128448,0.035910686,0.020096834,0.000987889,0.000118063
ago,1,40,0.824620167,0.136693144,0.028129126,0.007631569,0.002849645,7.1e-05,5.33e-06
agq,1,40,0.917353016,0.069454629,0.01030483,0.00222461,0.000651788,1.05e-05,5.94e-07
agr,1,40,0.885025106,0.093974149,0.015963923,0.003786788,0.001224862,2.37e-05,1.5e-06
ags,1,40,0.896993903,0.085036924,0.013792083,0.003167688,0.000990304,1.8e-05,1.1e-06
agt,1,40,0.377238105,0.321325776,0.156877511,0.079049929,0.059978446,0.004734429,0.000795804
agu,1,40,0.801885309,0.151771269,0.033173948,0.009390662,0.003671816,9.91e-05,7.85e-06
agv,4,40,0,0,0,0,0,0,1
agw,1,40,0.899428857,0.083198782,0.013360937,0.003047567,0.000945863,1.7e-05,1.02e-06
agx,1,40,0.706453114,0.209146827,0.056708292,0.018698547,0.00865205,0.000311225,2.99e-05
agy,1,40,0.393454016,0.319722749,0.151695615,0.074858328,0.055374828,0.004206981,0.000687484
agz,1,40,0.434874942,0.313390386,0.138369941,0.064793594,0.044993706,0.00310459,0.000472841
aha,1,40,0.977326313,0.020378348,0.001925214,0.000304543,6.5e-05,5.8e-07,2.23e-08
ahb,1,40,0.463170213,0.307351791,0.129267436,0.058430668,0.038899321,0.002515141,0.00036543
ahg,5,40,0,0,0,0,0,0,1
ahh,2,40,0.706256176,0.209255194,0.056760428,0.018721077,0.008665239,0.000311866,3e-05
ahi,1,40,0.8829835,0.095482567,0.016342892,0.00389713,0.001267588,2.47e-05,1.58e-06
ahk,1,40,0.959195125,0.035784728,0.004098,0.000739709,0.000180274,2.07e-06,9.36e-08
ahl,1,40,0.869573504,0.105275942,0.018891286,0.004656053,0.001568451,3.26e-05,2.17e-06
ahm,1,40,0.751697611,0.183144617,0.045104233,0.013890804,0.005957584,0.000188529,1.66e-05
ahn,1,40,0.68260479,0.221960646,0.063118777,0.021530337,0.010348907,0.000396673,3.99e-05
aho,6,40,0,0,0,0,0,0,1
ahp,1,40,0.86752786,0.106752581,0.019288852,0.004777027,0.001617487,3.39e-05,2.27e-06
ahs,1,40,0.927331326,0.061635304,0.008698705,0.001813869,0.000512623,7.75e-06,4.19e-07
aht,4,40,0,0,0,0,0,0,1
aia,1,40,0.804850279,0.149835468,0.032502716,0.009151481,0.003557486,9.51e-05,7.48e-06
aib,2,40,0.153699954,0.271865429,0.21205666,0.151145374,0.177818823,0.026260824,0.007152936
aic,4,40,0,0,0,0,0,0,1
aid,7,40,0,0,0,0,0,0,1
aie,3,40,0.645499328,0.240633335,0.073461901,0.026360982,0.01341837,0.000565408,6.07e-05
aif,1,40,0.667391117,0.22980539,0.067307085,0.023447476,0.01154127,0.000460139,4.75e-05
aih,2,40,0.436358637,0.313107028,0.13789196,0.064449799,0.04465533,0.003070724,0.000466522
aii,2,40,0.743515359,0.188008712,0.047145952,0.014706607,0.00639741,0.000207375,1.86e-05
aik,1,40,0.717356908,0.203081218,0.053843046,0.017473073,0.007942329,0.000277286,2.61e-05
ail,3,40,0.584100398,0.267983249,0.091455608,0.035547348,0.019828389,0.000969564,0.000115444
aim,1,40,0.747926427,0.185395266,0.046042036,0.014263901,0.006157817,0.000197048,1.75e-05
ain,5,40,0,0,0,0,0,0,1
aio,2,40,0.55387319,0.279722036,0.100660257,0.040646984,0.023697973,0.001243865,0.000155695
aip,5,40,0,0,0,0,0,0,1
aiq,1,40,0.953872046,0.040203848,0.004804115,0.000892937,0.000224203,2.72e-06,1.28e-07
air,1,40,0.557720219,0.278294251,0.099477633,0.039975974,0.023176327,0.001205639,0.000149957
ait,7,40,0,0,0,0,0,0,1
aiw,1,40,0.987038814,0.011855941,0.000946244,0.000133416,2.54e-05,1.82e-07,6.08e-09
aix,1,40,0.845778267,0.122173675,0.02365356,0.006148266,0.002192262,5.04e-05,3.58e-06
aiy,1,40,0.951310144,0.042315429,0.005153659,0.000970563,0.000246982,3.08e-06,1.47e-07
aja,5,40,0,0,0,0,0,0,1
ajg,1,40,0.990139479,0.009084121,0.000670461,8.96e-05,1.62e-05,1.05e-07,3.28e-09
aji,1,40,0.699037406,0.213198231,0.058680836,0.01955668,0.009157982,0.00033608,3.28e-05
aju,3,40,0.419718239,0.316066228,0.143252968,0.068371173,0.048577642,0.003471373,0.000542378
ajw,7,40,0,0,0,0,0,0,1
ajz,1,40,0.940982506,0.05073203,0.006622437,0.001308327,0.000349687,4.77e-06,2.41e-07
aka,1,40,0.998330449,0.001587165,7.41e-05,7.28e-06,9.76e-07,3.48e-09,7.53e-11
akb,2,40,0.854615729,0.115968781,0.021850233,0.005572348,0.001946754,4.32e-05,3e-06
akc,2,40,0.770376065,0.171776458,0.04054233,0.012115508,0.005026575,0.00015031,1.28e-05
akd,1,40,0.88299589,0.095473427,0.016340585,0.003896456,0.001267326,2.47e-05,1.58e-06
ake,2,40,0.578018309,0.27043997,0.093291023,0.036541945,0.020565884,0.001020166,0.000122702
akf,1,40,0.908289421,0.076451982,0.011823768,0.002627206,0.00079329,1.35e-05,7.91e-07
akg,1,40,0.837914008,0.127625543,0.025291494,0.006682362,0.002424936,5.75e-05,4.17e-06
akh,1,40,0.98435167,0.014236441,0.001201012,0.000175854,3.47e-05,2.67e-07,9.36e-09
aki,1,40,0.769229634,0.172484757,0.04081828,0.012221011,0.005080875,0.000152474,1.3e-05
akj,7,40,0,0,0,0,0,0,1
akl,1,40,0.948687855,0.044466819,0.005517705,0.001052584,0.000271405,3.46e-06,1.68e-07
akm,7,40,0,0,0,0,0,0,1
ako,5,40,0,0,0,0,0,0,1
akp,1,40,0.930437563,0.05917566,0.008213569,0.001693051,0.000472789,7e-06,3.73e-07
akq,5,40,0,0,0,0,0,0,1
akr,5,40,0,0,0,0,0,0,1
aks,1,40,0.949375744,0.043903422,0.005421604,0.001030818,0.00026489,3.36e-06,1.62e-07
akt,1,40,0.78204903,0.164486232,0.037763495,0.011066837,0.004494147,0.000129537,1.07e-05
aku,1,40,0.671209833,0.22786074,0.066248778,0.022958053,0.011233599,0.000443502,4.55e-05
akv,2,40,0.249418009,0.312839311,0.194678693,0.117274467,0.111056806,0.012128568,0.002604146
akw,2,40,0.762234803,0.176776512,0.042513525,0.012874497,0.005420142,0.000166181,1.43e-05
akx,7,40,0,0,0,0,0,0,1
aky,7,40,0,0,0,0,0,0,1
akz,3,40,0.043676577,0.146699565,0.177785824,0.176948254,0.328577355,0.087163995,0.039148431
ala,1,40,0.889166171,0.09090026,0.015202765,0.003567212,0.001140648,2.16e-05,1.35e-06
alc,5,40,0,0,0,0,0,0,1
ald,1,40,0.977443349,0.020276914,0.001912531,0.000302202,6.44e-05,5.73e-07,2.2e-08
ale,3,40,0.015868638,0.078438945,0.124891438,0.153444786,0.387206539,0.147145287,0.093004367
alf,1,40,0.937486411,0.053547782,0.007140149,0.001431485,0.00038844,5.45e-06,2.8e-07
alh,5,40,0,0,0,0,0,0,1
ali,1,40,0.862515053,0.110351872,0.020272687,0.005079286,0.001741238,3.73e-05,2.53e-06
alj,1,40,0.789736353,0.159607426,0.035964724,0.010401508,0.004163405,0.000117058,9.53e-06
alk,1,40,0.720731589,0.201177899,0.052964885,0.017102482,0.007730716,0.000267383,2.5e-05
all,2,40,0.299176288,0.321115073,0.180941122,0.101292473,0.087485868,0.008366094,0.001623081
alm,2,40,0.445615042,0.311254856,0.13491103,0.062330504,0.042592521,0.002867143,0.000428904
aln,1,40,0.976684361,0.02093422,0.00199513,0.000317499,6.82e-05,6.15e-07,2.38e-08
alo,2,40,0.4507344,0.310168845,0.133263617,0.061177191,0.041486533,0.00276004,0.000409375
alp,1,40,0.574382197,0.271886158,0.09439245,0.037144068,0.021016422,0.001051473,0.000127232
alq,2,40,0.358603845,0.322512944,0.162781565,0.084046111,0.06569228,0.005421432,0.000941823
alr,5,40,0,0,0,0,0,0,1
als,1,40,0.921916963,0.06589349,0.009561359,0.002032484,0.000586,9.19e-06,5.09e-07
alt,1,40,0.679067075,0.223807946,0.064085998,0.021968369,0.01061829,0.000410771,4.16e-05
alu,1,40,0.977282725,0.020416118,0.001929943,0.000305417,6.52e-05,5.82e-07,2.24e-08
alw,1,40,0.990284997,0.008953317,0.000658049,8.77e-05,1.58e-05,1.02e-07,3.17e-09
alx,2,40,0.492587247,0.299714878,0.119864891,0.052237917,0.033303375,0.002013056,0.000278636
aly,1,40,0.449194595,0.310500065,0.133759011,0.061522686,0.041816631,0.002791856,0.000415157
alz,1,40,0.988593754,0.010469471,0.00080533,0.000110735,2.06e-05,1.4e-07,4.55e-09
ama,6,40,0,0,0,0,0,0,1
amb,1,40,0.689453375,0.218344982,0.061258133,0.020695628,0.009840642,0.000370462,3.68e-05
amc,3,40,0.475383921,0.304343986,0.125353389,0.055808153,0.036489624,0.00229425,0.000326677
ame,1,40,0.510827111,0.294322474,0.114085624,0.048607127,0.030173498,0.001749192,0.000234974
amf,1,40,0.951891105,0.041837438,0.005073857,0.000952741,0.000241723,2.99e-06,1.42e-07
amg,5,40,0,0,0,0,0,0,1
amh,1,40,0.999799471,0.000194385,5.69e-06,4.09e-07,4.1e-08,8.02e-11,1.2e-12
ami,1,40,0.441379573,0.312120308,0.136274738,0.063294783,0.043526187,0.002958674,0.000445737
amj,1,40,0.886123311,0.093160829,0.015761078,0.003728004,0.00120221,2.31e-05,1.46e-06
amk,2,40,0.610122043,0.256949492,0.083706017,0.031466908,0.016890872,0.000776188,8.85e-05
aml,1,40,0.894755064,0.086721027,0.014191745,0.003279878,0.001032135,1.9e-05,1.17e-06
amm,1,40,0.612580721,0.255863889,0.08298283,0.0310958,0.016630801,0.000759715,8.62e-05
amn,1,40,0.928671907,0.060575287,0.008488443,0.001761313,0.00049523,7.42e-06,3.98e-07
amo,1,40,0.844674669,0.122942691,0.023881548,0.006221989,0.002224099,5.13e-05,3.66e-06
amp,1,40,0.844517777,0.123051913,0.023914009,0.006232502,0.002228646,5.15e-05,3.67e-06
amq,5,40,0,0,0,0,0,0,1
amr,2,40,0.322454072,0.322662727,0.173987127,0.094296731,0.078236386,0.007053859,0.001309099
ams,3,40,0.114432844,0.241158274,0.211713832,0.164920916,0.218327135,0.037748738,0.01169826
amt,2,40,0.512566215,0.293782966,0.113537072,0.048269111,0.029887749,0.001725725,0.000231161
amu,1,40,0.79822033,0.154151424,0.034009041,0.00969038,0.00381617,0.000104322,8.33e-06
amv,1,40,0.682544527,0.22199223,0.063135219,0.021537759,0.010353456,0.00039691,3.99e-05
amw,3,40,0.369496742,0.321906088,0.159338066,0.081102046,0.062294961,0.005008656,0.000853441
amx,1,40,0.34745704,0.322872058,0.166277793,0.087127792,0.069344171,0.005879128,0.001042017
amy,4,40,0,0,0,0,0,0,1
amz,7,40,0,0,0,0,0,0,1
ana,6,40,0,0,0,0,0,0,1
anb,7,40,0,0,0,0,0,0,1
anc,1,40,0.973630416,0.023567352,0.002335508,0.000381732,8.42e-05,8e-07,3.2e-08
and,2,40,0.679642087,0.22350864,0.063928508,0.021896853,0.010574185,0.000408453,4.13e-05
ane,1,40,0.720590138,0.201257924,0.053001611,0.017117933,0.007739511,0.000267792,2.51e-05
anf,3,40,0.602008734,0.260479549,0.08610376,0.03270906,0.017770011,0.000832663,9.62e-05
anh,1,40,0.842999368,0.124107616,0.024228811,0.006334668,0.002272933,5.28e-05,3.78e-06
ani,2,40,0.503579067,0.296523787,0.116376644,0.050031105,0.031387809,0.001850088,0.000251499
anj,1,40,0.656715832,0.235154028,0.070289985,0.024845157,0.012432098,0.000509302,5.36e-05
ank,2,40,0.939323866,0.052069951,0.006866809,0.001366208,0.00036782,5.09e-06,2.59e-07
anl,2,40,0.460509352,0.307975617,0.130121683,0.059011816,0.039441311,0.002565785,0.000374435
anm,1,40,0.87700142,0.09987574,0.017467157,0.00422836,0.001397429,2.81e-05,1.83e-06
ann,1,40,0.989775028,0.009411425,0.000701768,9.45e-05,1.72e-05,1.13e-07,3.56e-09
ano,3,40,0.521268422,0.291018305,0.110799323,0.04659881,0.028489772,0.00161244,0.000212927
anp,1,40,0.966923994,0.029288066,0.003124716,0.000537234,0.000124631,1.3e-06,5.55e-08
anq,1,40,0.376350734,0.321398465,0.157160052,0.079283473,0.060239976,0.004765094,0.000802206
anr,2,40,0.839163847,0.126763469,0.025029129,0.006596119,0.00238705,5.63e-05,4.07e-06
ans,7,40,0,0,0,0,0,0,1
ant,5,40,0,0,0,0,0,0,1
anu,1,40,0.974704702,0.022643189,0.002214339,0.000358653,7.84e-05,7.32e-07,2.9e-08
anv,1,40,0.848903398,0.119988986,0.023011296,0.005941674,0.002103537,4.77e-05,3.37e-06
anw,1,40,0.987209146,0.011704397,0.000930565,0.000130863,2.48e-05,1.77e-07,5.9e-09
anx,1,40,0.594695684,0.263592041,0.088279569,0.033851948,0.018590592,0.000886464,0.000103702
any,1,40,0.99021491,0.009016325,0.000664021,8.86e-05,1.6e-05,1.03e-07,3.22e-09
anz,1,40,0.737176093,0.191728433,0.048745465,0.015354783,0.006752074,0.000222923,2.02e-05
aob,5,40,0,0,0,0,0,0,1
aoc,2,40,0.500621811,0.297399896,0.117313546,0.050619195,0.031894278,0.001892726,0.000258547
aod,1,40,0.794268384,0.156702243,0.034916132,0.010018619,0.003975626,0.000110123,8.87e-06
aoe,1,40,0.974148013,0.023122364,0.002276938,0.000370548,8.13e-05,7.66e-07,3.05e-08
aof,1,40,0.577245542,0.270748739,0.093524848,0.03666944,0.020661027,0.001026752,0.000123652
aog,1,40,0.94203833,0.049878413,0.006468067,0.001272,0.000338383,4.58e-06,2.3e-07
aoi,1,40,0.281337314,0.318970455,0.186073982,0.106863211,0.095291629,0.00954521,0.0019182
aoj,1,40,0.899570772,0.08309144,0.013335923,0.003040627,0.000943306,1.69e-05,1.02e-06
aok,5,40,0,0,0,0,0,0,1
aol,1,40,0.836314795,0.128726194,0.025628321,0.006793463,0.002473919,5.9e-05,4.3e-06
aom,1,40,0.795122795,0.156152137,0.034719441,0.009947209,0.003940815,0.00010885,8.75e-06
aon,3,40,0.839427043,0.12658172,0.024973977,0.006578023,0.002379115,5.61e-05,4.05e-06
aos,1,40,0.158503538,0.2749415,0.211673913,0.149404514,0.17352805,0.025184438,0.006764048
aot,3,40,0.806473825,0.148771582,0.032136828,0.009021757,0.003495802,9.29e-05,7.28e-06
aox,4,40,0,0,0,0,0,0,1
aoz,1,40,0.973572686,0.023616951,0.002342062,0.000382987,8.45e-05,8.03e-07,3.22e-08
apb,1,40,0.927033671,0.061870355,0.008745572,0.001825623,0.000516526,7.83e-06,4.23e-07
ape,2,40,0.933574326,0.056679257,0.007731105,0.001574481,0.000434222,6.28e-06,3.29e-07
apg,1,40,0.768977362,0.172640434,0.040879075,0.012244287,0.005092873,0.000152953,1.3e-05
aph,2,40,0.620916663,0.252128883,0.080543074,0.029855847,0.015770509,0.000706001,7.9e-05
api,5,40,0,0,0,0,0,0,1
apj,3,40,0.142643471,0.264266567,0.212634529,0.155128941,0.188196429,0.02896974,0.008160324
apk,5,40,0,0,0,0,0,0,1
apm,2,40,0.202542603,0.29763432,0.205303565,0.133498699,0.139378425,0.017467752,0.004174637
apn,1,40,0.340195859,0.322958915,0.168537504,0.08917305,0.071823435,0.006198085,0.001113153
apo,1,40,0.631592629,0.247224005,0.07744652,0.028308628,0.014715867,0.000641807,7.05e-05
app,1,40,0.938403374,0.052810852,0.007003399,0.001398758,0.00037808,5.27e-06,2.7e-07
apr,1,40,0.775654257,0.168497674,0.039278814,0.011635574,0.004781244,0.000140636,1.18e-05
aps,1,40,0.715329273,0.204218897,0.054372652,0.017697707,0.008071284,0.000283371,2.68e-05
apt,2,40,0.663838844,0.231599561,0.068295704,0.023907727,0.01183263,0.000476057,4.95e-05
apu,2,40,0.59770098,0.262320974,0.087383775,0.033379595,0.018250093,0.000864014,0.000100569
apw,2,40,0.396881669,0.319318544,0.150596506,0.073990692,0.054442964,0.004103071,0.000666553
apx,5,40,0,0,0,0,0,0,1
apy,1,40,0.584054529,0.268001953,0.091469417,0.035554791,0.019833876,0.000969937,0.000115497
apz,1,40,0.85867411,0.113091392,0.021035637,0.005316471,0.001839547,4.01e-05,2.75e-06
aqc,2,40,0.338980738,0.322961868,0.168914131,0.089518238,0.07224633,0.006253153,0.001125541
aqg,1,40,0.963723955,0.031989884,0.003519866,0.000618127,0.000146501,1.6e-06,6.98e-08
aqm,1,40,0.391483525,0.319944934,0.152326955,0.075360001,0.055916902,0.00426787,0.000699813
aqn,3,40,0.286095846,0.319627823,0.184724185,0.105359551,0.093144161,0.009214258,0.001834176
aqr,4,40,0,0,0,0,0,0,1
ard,5,40,0,0,0,0,0,0,1
are,1,40,0.131387716,0.255730417,0.212727484,0.159123234,0.199542819,0.032109882,0.009378447
arg,2,40,0.560917105,0.277092873,0.098497246,0.039423292,0.022749504,0.001174646,0.000145334
arh,1,40,0.674078587,0.226389049,0.065456811,0.022594013,0.011006198,0.000431321,4.4e-05
ari,5,40,0,0,0,0,0,0,1
arj,6,40,0,0,0,0,0,0,1
ark,5,40,0,0,0,0,0,0,1
arl,4,40,0,0,0,0,0,0,1
arn,2,40,0.581888334,0.2688822,0.092122136,0.03590727,0.020094305,0.000987716,0.000118038
aro,2,40,0.158967385,0.275231612,0.211633045,0.149236221,0.173120369,0.025083465,0.006727904
arp,2,40,0.255917172,0.314341612,0.19299823,0.115109666,0.10764241,0.011545962,0.002444949
arr,3,40,0.132220058,0.25639104,0.212739619,0.158830868,0.19867487,0.031862857,0.009280688
arv,1,40,0.77208171,0.170720111,0.040132772,0.011959377,0.00494646,0.000147132,1.24e-05
arw,4,40,0,0,0,0,0,0,1
arx,4,40,0,0,0,0,0,0,1
asa,1,40,0.965493556,0.030497939,0.003299938,0.000572872,0.000134203,1.43e-06,6.17e-08
asb,4,40,0,0,0,0,0,0,1
asc,1,40,0.72186192,0.200537653,0.052671673,0.016979268,0.007660673,0.000264127,2.47e-05
